window	gate_status	branch	execution_bias	execution_score	decision_hint	execution_readiness	prediction_vote_score	hybrid_transition_hazard	duration_remaining_expected_bars	branch_probability	path_ranker_score_used_by_execution_tree	path_ranker_score_visible_to_execution_tree	ranker_score_path_id	ranker_score_runtime_source	ranker_score_raw_path_score	ranker_score_calibrated_path_prob	ranker_score_path_prob_lower_bound	ranker_score_execution_gate_status	path_ranker_runtime_source	path_ranker_model_family	ranker_validation_ready	readiness_gap_to_observe	readiness_gap_to_ready	top_positive_feature	top_positive_contribution	top_negative_feature	top_negative_contribution	pythagorean_overstretch	ising_phase_transition_risk	spectral_entropy	dominant_cycle_energy	cycle_phase_alignment	consumer_reason
106	observe	transition_guardrail	guarded	0.518616	execution_guarded_due_to_high_transition_hazard	0.355300	0.544200	0.622000	2.062000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.094700	0.294700	dominant_cycle_energy	0.575742	branch_probability	-0.500000		0.270800	0.328400	0.725700		market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
107	observe	transition_guardrail	guarded	0.530586	execution_guarded_due_to_low_remaining_regime_duration	0.392800	0.550500	0.674000	1.062000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.057200	0.257200	pythagorean_overstretch	0.668487	branch_probability	-0.500000	0.031500	0.236600		0.625400	0.450500	market_state=RangeConsolidation/Accumulation | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
108	observe	transition_guardrail	guarded	0.565376	execution_guarded_due_to_low_remaining_regime_duration	0.456600	0.549700	0.674000	0.300000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.000000	0.193400	dominant_cycle_energy	0.487084	branch_probability	-0.500000	0.313000	0.300700	0.429700	0.637100		market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
109	observe	transition_guardrail	guarded	0.555356	execution_guarded_due_to_high_transition_hazard	0.426700	0.545200	0.678000		0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.023300	0.223300	pythagorean_overstretch	0.483613	cycle_phase_alignment	-0.829323	0.216400	0.275000		0.560300	-0.829300	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
110	observe	transition_guardrail	guarded	0.553424	execution_guarded_due_to_high_transition_hazard	0.471600	0.543900	0.682000		0.397759	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.000000	0.178400	ising_phase_transition_risk	0.424411	cycle_phase_alignment	-0.993552		0.275600	0.532400	0.483500	-0.993600	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
111	observe	transition_guardrail	guarded	0.547474	execution_guarded_due_to_high_transition_hazard	0.444800	0.541300	0.680000	2.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.005200	0.205200	ising_phase_transition_risk	0.433981	cycle_phase_alignment	-0.726898		0.266000	0.525700	0.423700	-0.726900	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
112	observe	transition_guardrail	guarded	0.566023	execution_guarded_due_to_low_remaining_regime_duration	0.359000	0.550100	0.546000	1.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.091000	0.291000	dominant_cycle_energy	0.727552	branch_probability	-0.500000		0.255700	0.189700	0.877600	0.337700	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
113	observe	transition_guardrail	guarded	0.450044	execution_guarded_due_to_low_remaining_regime_duration	0.316400	0.549200	0.481000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.133600	0.333600	dominant_cycle_energy	0.478128	branch_probability	-0.500000		0.286200	0.345100	0.628100		market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
114	observe	transition_guardrail	guarded	0.560783	execution_guarded_due_to_low_remaining_regime_duration	0.427800	0.547500	0.642000	0.273000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.022200	0.222200	ising_phase_transition_risk	0.398405	cycle_phase_alignment	-0.999833	0.424400	0.301600			-0.999800	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
115	observe	transition_guardrail	guarded	0.434372	execution_guarded_due_to_low_remaining_regime_duration	0.315600	0.541200	0.636000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.134400	0.334400	ising_phase_transition_risk	0.420897	cycle_phase_alignment	-0.983719		0.279100	0.578100		-0.983700	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
116	observe	transition_guardrail	guarded	0.553192	execution_guarded_due_to_low_remaining_regime_duration	0.437000	0.543800	0.637000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.013000	0.213000	pythagorean_overstretch	0.678992	cycle_phase_alignment	-0.937582	0.021000	0.279300	0.576600		-0.937600	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
117	blocked	block_crowded	skip	0.557081	execution_blocked_regardless_of_prediction	0.444600	0.545800			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.005400	0.205400	cycle_phase_alignment	0.666966	branch_probability	-0.500000		0.281500	0.299600	0.692400	0.667000	market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
118	observe	transition_guardrail	guarded	0.557828	execution_guarded_due_to_low_remaining_regime_duration	0.367700	0.545900	0.657000	0.286000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.082300	0.282300	dominant_cycle_energy	0.652993	branch_probability	-0.500000	1.000000	0.255700	0.213900	0.803000		market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
119	blocked	block_crowded	skip	0.551890	execution_blocked_regardless_of_prediction	0.437000	0.543200			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.013000	0.213000	cycle_phase_alignment	0.544848	branch_probability	-0.500000	1.000000	0.281500	0.373700		0.544800	market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
120	blocked	block_crowded	skip	0.553407	execution_blocked_regardless_of_prediction	0.359700	0.544100			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.090300	0.290300	spectral_entropy	0.585146	branch_probability	-0.500000	1.000000	0.255700	0.214900	0.722500		market_state=TrendExpansion/BullTrendExhaustion | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
121	observe	transition_guardrail	guarded	0.443440	execution_guarded_due_to_high_transition_hazard	0.274600	0.545600	0.691000	1.789000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.175400	0.375400	pythagorean_overstretch	0.483613	cycle_phase_alignment	-0.902337	0.216400	0.273400		0.530700	-0.902300	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
122	observe	transition_guardrail	guarded	0.561530	execution_guarded_due_to_low_remaining_regime_duration	0.457900	0.547800	0.669000	0.789000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.000000	0.192100	dominant_cycle_energy	0.444793	cycle_phase_alignment	-0.972728		0.271900	0.399800	0.594800	-0.972700	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
123	observe	transition_guardrail	guarded	0.555886	execution_guarded_due_to_low_remaining_regime_duration	0.383900	0.545000	0.608000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.066100	0.266100	cycle_phase_alignment	0.632694	branch_probability	-0.500000		0.291000	0.452300	0.439700	0.632700	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
124	observe	transition_guardrail	guarded	0.557295	execution_guarded_due_to_low_remaining_regime_duration	0.362500	0.545500	0.594000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.087500	0.287500	ising_phase_transition_risk	0.444303	branch_probability	-0.500000		0.255700	0.442000		0.315200	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
125	observe	transition_guardrail	guarded	0.448899	execution_guarded_due_to_low_remaining_regime_duration	0.328700	0.548500	0.622000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.121300	0.321300	ising_phase_transition_risk	0.407168	branch_probability	-0.500000	1.000000	0.292800	0.481700			market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
126	observe	transition_guardrail	guarded	0.517469	execution_guarded_due_to_low_remaining_regime_duration	0.409500	0.543900	0.645000	0.417000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.040500	0.240500	pythagorean_overstretch	0.582353	cycle_phase_alignment	-0.993280	0.117600	0.300700			-0.993300	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
127	blocked	block_crowded	skip	0.552641	execution_blocked_regardless_of_prediction	0.368300	0.543500			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.081700	0.281700	dominant_cycle_energy	0.654886	cycle_phase_alignment	-0.575065		0.280400	0.232700	0.804900	-0.575100	market_state=RangeConsolidation/WideRange | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
128	blocked	block_crowded	skip	0.561006	execution_blocked_regardless_of_prediction	0.414700	0.547200			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.035300	0.235300	dominant_cycle_energy	0.668524	branch_probability	-0.500000	0.214300	0.264200	0.225800	0.818500		market_state=ExtremeStress/VolatilitySpike | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
129	blocked	block_crowded	passive	0.569803	execution_blocked_regardless_of_prediction	0.424800	0.552600		1.900000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.025200	0.225200	dominant_cycle_energy	0.693997	branch_probability	-0.500000	1.000000	0.260700	0.178200	0.844000		market_state=RangeConsolidation/Accumulation | execution=blocked/block_crowded/passive | ranker=unknown/unknown/not_ready
130	observe	transition_guardrail	guarded	0.452451	execution_guarded_due_to_low_remaining_regime_duration	0.315700	0.543000	0.562000	0.900000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.134300	0.334300	spectral_entropy	0.515657	cycle_phase_alignment	-0.581606		0.362900	0.284300	0.605100	-0.581600	market_state=TrendExpansion/BullTrendExhaustion | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
131	observe	transition_guardrail	guarded	0.556654	execution_guarded_due_to_low_remaining_regime_duration	0.448900	0.545800	0.575000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.001100	0.201100	ising_phase_transition_risk	0.435045	cycle_phase_alignment	-0.885697	1.000000	0.265000	0.421600		-0.885700	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
132	observe	transition_guardrail	guarded	0.560495	execution_guarded_due_to_low_remaining_regime_duration	0.411100	0.547600	0.664000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.038900	0.238900	ising_phase_transition_risk	0.428393	cycle_phase_alignment	-0.688843	1.000000	0.271600			-0.688800	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
133	observe	transition_guardrail	guarded	0.548390	execution_guarded_due_to_low_remaining_regime_duration	0.407300	0.541900	0.665000	0.385000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.042700	0.242700	pythagorean_overstretch	0.431092	branch_probability	-0.500000	0.268900	0.276400	0.517000	0.430300		market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
134	blocked	block_crowded	skip	0.553853	execution_blocked_regardless_of_prediction	0.339500	0.544200			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.110500	0.310500	ising_phase_transition_risk	0.409357	cycle_phase_alignment	-0.643870		0.290600	0.478900	0.468400	-0.643900	market_state=TrendExpansion/BullTrendExhaustion | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
135	observe	transition_guardrail	guarded	0.515116	execution_guarded_due_to_low_remaining_regime_duration	0.383400	0.556300	0.687000	0.357000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.066600	0.266600	dominant_cycle_energy	0.437953	branch_probability	-0.500000		0.275900	0.390200	0.588000	-0.462400	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
136	observe	transition_guardrail	guarded	0.561796	execution_guarded_due_to_high_transition_hazard	0.364900	0.548300	0.629000		0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.085100	0.285100	ising_phase_transition_risk	0.408926	branch_probability	-0.500000	1.000000	0.291100			0.270000	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
137	blocked	block_crowded	skip	0.552003	execution_blocked_regardless_of_prediction	0.332300	0.543600			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.117700	0.317700	ising_phase_transition_risk	0.337218	cycle_phase_alignment	-0.561765	1.000000	0.362800			-0.561800	market_state=TrendExpansion/BullTrendExhaustion | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
138	blocked	block_crowded	passive	0.564940	execution_blocked_regardless_of_prediction	0.421100	0.550100		1.650000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.028900	0.228900	ising_phase_transition_risk	0.425102	branch_probability	-0.500000	1.000000	0.274900	0.412700	0.519100		market_state=RangeConsolidation/Distribution | execution=blocked/block_crowded/passive | ranker=unknown/unknown/not_ready
139	observe	transition_guardrail	guarded	0.560817	execution_guarded_due_to_low_remaining_regime_duration	0.436700	0.547700	0.693000	0.333000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.013300	0.213300	ising_phase_transition_risk	0.423768	branch_probability	-0.500000	0.352900	0.276200	0.461500		0.318300	market_state=RangeConsolidation/Distribution | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
140	observe	transition_guardrail	guarded	0.546822	execution_guarded_due_to_low_remaining_regime_duration	0.426700	0.540800	0.668000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.023300	0.223300	pythagorean_overstretch	0.678992	cycle_phase_alignment	-0.967018	0.021000	0.298900			-0.967000	market_state=RangeConsolidation/Distribution | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
141	observe	transition_guardrail	guarded	0.559679	execution_guarded_due_to_high_transition_hazard	0.387600	0.547200	0.600000		0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.062400	0.262400	dominant_cycle_energy	0.564449	branch_probability	-0.500000	1.000000	0.255700	0.307200	0.714400		market_state=RangeConsolidation/Distribution | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
142	observe	transition_guardrail	guarded	0.519615	execution_guarded_due_to_low_remaining_regime_duration	0.382900	0.558800	0.674000	0.375000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.067100	0.267100	dominant_cycle_energy	0.511068	branch_probability	-0.500000		0.299900	0.327900	0.661100	0.334500	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
143	blocked	block_crowded	skip	0.560476	execution_blocked_regardless_of_prediction	0.449500	0.547600			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.000500	0.200500	cycle_phase_alignment	0.978212	branch_probability	-0.500000	1.000000	0.281500	0.473300		0.978200	market_state=RangeConsolidation/WideRange | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
144	blocked	block_crowded	skip	0.560709	execution_blocked_regardless_of_prediction	0.428300	0.547700			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.021700	0.221700	spectral_entropy	0.443048	branch_probability	-0.500000	1.000000	0.285300	0.357000		-0.430000	market_state=RangeConsolidation/WideRange | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
145	observe	transition_guardrail	guarded	0.531083	execution_guarded_due_to_high_transition_hazard	0.337500	0.550500	0.608000	1.550000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.112500	0.312500	ising_phase_transition_risk	0.444303	cycle_phase_alignment	-0.582073	1.000000	0.255700			-0.582100	market_state=ExtremeStress/LiquidityCrunch | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
146	observe	transition_guardrail	guarded	0.554051	execution_guarded_due_to_low_remaining_regime_duration	0.440700	0.544400	0.600000	0.550000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.009300	0.209300	dominant_cycle_energy	0.579744	branch_probability	-0.500000		0.281500	0.244700	0.729700	0.567400	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
147	observe	transition_guardrail	guarded	0.514787	execution_guarded_due_to_low_remaining_regime_duration	0.316200	0.556300	0.570000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.133800	0.333800	dominant_cycle_energy	0.652845	branch_probability	-0.500000	0.256300	0.285200	0.242700	0.802800		market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
148	observe	transition_guardrail	guarded	0.568504	execution_guarded_due_to_low_remaining_regime_duration	0.371400	0.551700	0.538000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.078600	0.278600	dominant_cycle_energy	0.575652	cycle_phase_alignment	-0.777826		0.281500	0.292100	0.725700	-0.777800	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
149	observe	transition_guardrail	guarded	0.524772	execution_guarded_due_to_low_remaining_regime_duration	0.318300	0.547500	0.567000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.131700	0.331700	dominant_cycle_energy	0.634274	cycle_phase_alignment	-0.999917		0.281500	0.244200	0.784300	-0.999900	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
150	observe	transition_guardrail	guarded	0.549184	execution_guarded_due_to_low_remaining_regime_duration	0.380400	0.542200	0.612000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.069600	0.269600	dominant_cycle_energy	0.649195	branch_probability	-0.500000	1.000000	0.255700	0.200600	0.799200		market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
151	observe	transition_guardrail	guarded	0.452728	execution_guarded_due_to_low_remaining_regime_duration	0.304100	0.550200	0.614000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.145900	0.345900	cycle_phase_alignment	0.522284	branch_probability	-0.500000		0.255700	0.381900	0.539200	0.522300	market_state=TrendExpansion/BullTrendExhaustion | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
152	observe	transition_guardrail	guarded	0.556602	execution_guarded_due_to_low_remaining_regime_duration	0.383600	0.545800	0.579000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.066400	0.266400	ising_phase_transition_risk	0.434065	branch_probability	-0.500000	1.000000	0.265900			-0.425000	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
153	observe	transition_guardrail	guarded	0.447037	execution_guarded_due_to_low_remaining_regime_duration	0.349900	0.547400	0.670000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.100100	0.300100	ising_phase_transition_risk	0.429552	branch_probability	-0.500000		0.270400	0.593900	0.354700		market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
154	observe	transition_guardrail	guarded	0.448225	execution_guarded_due_to_low_remaining_regime_duration	0.353000	0.548000	0.669000	0.353000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.097000	0.297000	ising_phase_transition_risk	0.425233	branch_probability	-0.500000		0.274800	0.573200	0.317000		market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
155	observe	transition_guardrail	guarded	0.522844	execution_guarded_due_to_high_transition_hazard	0.307000	0.546500	0.601000		0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.143000	0.343000	cycle_phase_alignment	0.882920	branch_probability	-0.500000		0.255700	0.400600	0.497300	0.882900	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
156	blocked	block_crowded	skip	0.439130	execution_blocked_regardless_of_prediction	0.217600	0.543200			0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.232400	0.432400	ising_phase_transition_risk	0.444303	branch_probability	-0.500000		0.255700	0.382600	0.556300		market_state=TrendExpansion/BullTrendAcceleration | execution=blocked/block_crowded/skip | ranker=unknown/unknown/not_ready
157	blocked	block_crowded	passive	0.574757	execution_blocked_regardless_of_prediction	0.409200	0.554800		2.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.040800	0.240800	spectral_entropy	0.446650	branch_probability	-0.500000	1.000000	0.255700	0.353400		-0.462200	market_state=ExtremeStress/VolatilitySpike | execution=blocked/block_crowded/passive | ranker=unknown/unknown/not_ready
158	observe	transition_guardrail	guarded	0.514998	execution_guarded_due_to_low_remaining_regime_duration	0.348000	0.542600	0.631000	1.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.102000	0.302000	cycle_phase_alignment	0.642599	branch_probability	-0.500000		0.291300		0.521000	0.642600	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
159	observe	transition_guardrail	guarded	0.449592	execution_guarded_due_to_low_remaining_regime_duration	0.324100	0.548900	0.689000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.125900	0.325900	cycle_phase_alignment	0.655287	branch_probability	-0.500000		0.295500	0.630700		0.655300	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
160	observe	transition_guardrail	guarded	0.557431	execution_guarded_due_to_low_remaining_regime_duration	0.260100	0.545700	0.606000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.189900	0.389900	ising_phase_transition_risk	0.444303	branch_probability	-0.500000	1.000000	0.255700			0.399000	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
161	observe	transition_guardrail	guarded	0.613850	execution_guarded_due_to_low_remaining_regime_duration	0.346800	0.556900	0.571000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.103200	0.303200	ising_phase_transition_risk	0.418452	branch_probability	-0.500000	1.000000	0.281500			-0.336700	market_state=ExtremeStress/VolatilitySpike | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
162	observe	transition_guardrail	guarded	0.553674	execution_guarded_due_to_low_remaining_regime_duration	0.411200	0.544100	0.621000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.038800	0.238800	dominant_cycle_energy	0.530033	branch_probability	-0.500000		0.240400	0.317000	0.680000	-0.392700	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
163	observe	transition_guardrail	guarded	0.558505	execution_guarded_due_to_low_remaining_regime_duration	0.435400	0.546700	0.686000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.014600	0.214600	dominant_cycle_energy	0.523433	branch_probability	-0.500000		0.360900	0.318500	0.673400		market_state=RangeConsolidation/Distribution | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
164	observe	transition_guardrail	guarded	0.566375	execution_guarded_due_to_low_remaining_regime_duration	0.392100	0.550700	0.446000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.057900	0.257900	cycle_phase_alignment	0.813493	branch_probability	-0.500000	0.086100		0.370800	0.608100	0.813500	market_state=TrendExpansion/BullTrendAcceleration | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
165	observe	transition_guardrail	guarded	0.555871	execution_guarded_due_to_low_remaining_regime_duration	0.404400	0.545400	0.585000	0.000000	0.000000	false	false	path:scenario:NQ:belief_regime_node:range:range_mean_reversion:primary						unknown	unknown	false	0.045600	0.245600	ising_phase_transition_risk	0.433375	cycle_phase_alignment	-0.704277	1.000000	0.266600	0.405600		-0.704300	market_state=RangeConsolidation/WideRange | execution=observe/transition_guardrail/guarded | ranker=unknown/unknown/not_ready
