provider,provider_label,branch_id,branch_path,material_path,strategy_path,symbol,direction
Bybit,Bybit BTCUSDT 1h,smt_confirmed_ob_fvg_continuation_v1,CrossMarketConfirmation -> SMTConfirmedContinuation -> fvg_or_order_block_retest -> smt_confirmed_ob_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-smt_confirmed_ob_fvg_continuation_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SmtConfirmedObFvgContinuationV1.py,BTC,long
IBKR,IBKR SPY 1h,smt_confirmed_ob_fvg_continuation_v1,CrossMarketConfirmation -> SMTConfirmedContinuation -> fvg_or_order_block_retest -> smt_confirmed_ob_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-smt_confirmed_ob_fvg_continuation_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SmtConfirmedObFvgContinuationV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,smt_confirmed_ob_fvg_continuation_v1,CrossMarketConfirmation -> SMTConfirmedContinuation -> fvg_or_order_block_retest -> smt_confirmed_ob_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-smt_confirmed_ob_fvg_continuation_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SmtConfirmedObFvgContinuationV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,smt_confirmed_ob_fvg_continuation_v1,CrossMarketConfirmation -> SMTConfirmedContinuation -> fvg_or_order_block_retest -> smt_confirmed_ob_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-smt_confirmed_ob_fvg_continuation_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SmtConfirmedObFvgContinuationV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,smt_confirmed_ob_fvg_continuation_v1,CrossMarketConfirmation -> SMTConfirmedContinuation -> fvg_or_order_block_retest -> smt_confirmed_ob_fvg_continuation_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-smt_confirmed_ob_fvg_continuation_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/SmtConfirmedObFvgContinuationV1.py,SPY,long
Binance,Binance BTCUSDT 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,BTC,long
Bybit,Bybit BTCUSDT 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,BTC,long
IBKR,IBKR SPY 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,fvg_displacement_retest_expansion_v1,VolatilityCompression -> LiquidityExpansion -> displacement_fvg_retest -> fvg_displacement_retest_expansion_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-fvg_displacement_retest_expansion_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/DisplacementFvgRetestExpansionV1.py,SPY,long
Binance,Binance BTCUSDT 1h,ob_fvg_failed_mitigation_guard_v1,Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-binance-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgFailedMitigationGuardV1.py,BTC,long
Bybit,Bybit BTCUSDT 1h,ob_fvg_failed_mitigation_guard_v1,Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-bybit-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgFailedMitigationGuardV1.py,BTC,long
IBKR,IBKR SPY 1h,ob_fvg_failed_mitigation_guard_v1,Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-ibkr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgFailedMitigationGuardV1.py,SPY,long
Kraken,Kraken XBTUSD 1h,ob_fvg_failed_mitigation_guard_v1,Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-kraken-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgFailedMitigationGuardV1.py,BTC,long
TradingViewRemix/TVR,TradingViewRemix/TVR BTC-USD 1h,ob_fvg_failed_mitigation_guard_v1,Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-tradingviewremix-tvr-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgFailedMitigationGuardV1.py,BTC,long
yfinance/YF,yfinance/YF SPY 1h,ob_fvg_failed_mitigation_guard_v1,Transition -> RiskSuppression -> failed_mitigation_guard -> ob_fvg_failed_mitigation_guard_v1,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ob-fvg-ob_fvg_failed_mitigation_guard_v1-yfinance-yf-1h-v1.material.json,/Users/thrill3r/projects-ict-engine/ict-engine/docs/experiments/actionable-regime-confidence/runs/20260512T192258+0800-codex-ob-fvg-branch-keyed-material-preflight-v1/agent-material/ObFvgFailedMitigationGuardV1.py,SPY,long
